Date,Forecasted_Demand,PRODUCT_CARD_ID,PRODUCT_NAME,FREQUENCY
07-01-2018,73.94939478,M001,Bus Model B45,Daily
08-01-2018,76.58860717,M001,Bus Model B45,Daily
09-01-2018,72.32426054,M001,Bus Model B45,Daily
10-01-2018,75.79727336,M001,Bus Model B45,Daily
11-01-2018,76.54495897,M001,Bus Model B45,Daily
12-01-2018,77.29899339,M001,Bus Model B45,Daily
13-01-2018,76.36320834,M001,Bus Model B45,Daily
14-01-2018,77.68078033,M001,Bus Model B45,Daily
15-01-2018,80.21206184,M001,Bus Model B45,Daily
16-01-2018,75.75418585,M001,Bus Model B45,Daily
17-01-2018,78.95329825,M001,Bus Model B45,Daily
18-01-2018,79.35395044,M001,Bus Model B45,Daily
19-01-2018,79.69688576,M001,Bus Model B45,Daily
20-01-2018,78.29660414,M001,Bus Model B45,Daily
21-01-2018,79.10828198,M001,Bus Model B45,Daily
22-01-2018,81.10530011,M001,Bus Model B45,Daily
23-01-2018,76.09851846,M001,Bus Model B45,Daily
24-01-2018,78.74816084,M001,Bus Model B45,Daily
25-01-2018,78.61285072,M001,Bus Model B45,Daily
26-01-2018,78.4470409,M001,Bus Model B45,Daily
27-01-2018,76.57823043,M001,Bus Model B45,Daily
28-01-2018,76.97355503,M001,Bus Model B45,Daily
29-01-2018,78.61701183,M001,Bus Model B45,Daily
30-01-2018,73.32846515,M001,Bus Model B45,Daily
31-01-2018,75.7753035,M001,Bus Model B45,Daily
01-02-2018,75.52129441,M001,Bus Model B45,Daily
02-02-2018,75.32388461,M001,Bus Model B45,Daily
03-02-2018,73.5113424,M001,Bus Model B45,Daily
04-02-2018,74.04932987,M001,Bus Model B45,Daily
05-02-2018,75.91816667,M001,Bus Model B45,Daily
06-02-2018,70.93193071,M001,Bus Model B45,Daily
07-02-2018,73.7502635,M001,Bus Model B45,Daily
08-02-2018,73.92742295,M001,Bus Model B45,Daily
09-02-2018,74.20982598,M001,Bus Model B45,Daily
10-02-2018,72.91347146,M001,Bus Model B45,Daily
11-02-2018,73.99082407,M001,Bus Model B45,Daily
